id_notificationlogs,capstone_employee_id_notificationlogs,capstone_name_notificationlogs,capstone_email_notificationlogs,View_time
fd9a6076-d925-402b-a05b-bce0efdfe998,071459,Steven Martin,steven.martin@abcsupply_capstone.com,2023-06-26 21:28:44
df5db1fc-9526-42d1-bcd6-01b770b68ebc,077894,James Owens,james.owens@abcsupply_capstone.com,2023-06-27 13:56:17
71d48186-1332-42ec-9a1b-b2bbd96726e6,077894,James Owens,james.owens@abcsupply_capstone.com,2023-06-27 14:05:05
2507949e-34d5-4b80-8eaa-f31220c726e5,028280,Tiffany Knight,tiffany.knight@abcsupply_capstone.com,2023-06-27 14:52:02
8dbdee0d-39c4-4637-92b2-4fbcd1421d47,035369,Mr. Jose Henry,mr..jose.henry@abcsupply_capstone.com,2023-06-27 15:16:13
2d59c8ae-7dad-49b5-a7e7-5919470d2728,071459,Steven Martin,steven.martin@abcsupply_capstone.com,2023-06-27 16:22:17
8f2cb1f1-872a-406d-b9ca-9d8e5e3c5bad,071459,Steven Martin,steven.martin@abcsupply_capstone.com,2023-06-27 17:54:27
4b0b690a-be4b-4f7d-a6c6-76f3c92d93ac,071459,Steven Martin,steven.martin@abcsupply_capstone.com,2023-06-27 18:04:32
4f6880b9-6317-49ff-9fc0-12fa79298249,071459,Steven Martin,steven.martin@abcsupply_capstone.com,2023-06-27 18:07:14
57282179-2d26-4da3-80f5-1ed1cd7e4f8d,071459,Steven Martin,steven.martin@abcsupply_capstone.com,2023-06-27 18:08:04
fe40da1b-cbb4-4168-9475-e958c99eb847,071459,Steven Martin,steven.martin@abcsupply_capstone.com,2023-06-27 18:10:51
25dccf60-bad8-4c3b-90bc-60b1366bb3ad,077894,James Owens,james.owens@abcsupply_capstone.com,2023-06-28 15:31:49
1670c0ea-220b-485f-b412-d9c202fd0a1e,071521,Nicholas Vargas,nicholas.vargas@abcsupply_capstone.com,2023-06-28 16:48:18
a8af6736-7507-4fcb-b42f-eebd8caee7d8,027195,Kristen Barnes,kristen.barnes@abcsupply_capstone.com,2023-06-28 18:01:41
500f8d53-aca3-4144-beb7-a12129b2a5ee,074600,Jeffery Melton,jeffery.melton@abcsupply_capstone.com,2023-06-28 22:02:41
da29f0a2-23af-47ac-a8b5-8e967bcc91e3,002241,Jennifer Fischer,jennifer.fischer@abcsupply_capstone.com,2023-06-30 14:42:38
d3ec87e0-b706-4c2f-b032-e9ef8df77e49,033183,Terry Pierce,terry.pierce@abcsupply_capstone.com,2023-06-30 14:45:06
24105dcf-a144-497c-a57d-57302a210110,055493,Dale Snyder,dale.snyder@abcsupply_capstone.com,2023-06-30 16:11:15
fa1cc9a2-548b-4c2e-b023-8d5f56fb79a9,071459,Steven Martin,steven.martin@abcsupply_capstone.com,2023-06-30 16:30:51
5ca707cc-330e-4735-9212-e863481417c7,059700,Joseph Bright,joseph.bright@abcsupply_capstone.com,2023-06-30 20:53:19
43894d17-730d-4286-9dc8-28bbe25864ba,059700,Joseph Bright,joseph.bright@abcsupply_capstone.com,2023-06-30 20:54:07
9d220b43-d467-4279-aa23-4084894a836f,071459,Steven Martin,steven.martin@abcsupply_capstone.com,2023-06-30 21:58:28
98e306fc-432c-48a0-8818-98acd81aeeb2,026049,Allison Miles,allison.miles@abcsupply_capstone.com,2023-07-03 11:25:48
38a0ddd1-825d-47bb-84aa-c2e14abbaeba,077854,Jeffrey Butler,jeffrey.butler@abcsupply_capstone.com,2023-07-03 12:43:35
0d00d9fb-8d0e-494e-9b45-e15ebbef4d59,077894,James Owens,james.owens@abcsupply_capstone.com,2023-07-03 12:59:48
ac0bd455-4f21-49c3-90aa-c855eb01af44,002698,Curtis Greer,curtis.greer@abcsupply_capstone.com,2023-07-03 14:24:29
57ad3097-f5f0-4c68-a3fd-e997adafb2cc,003906,Nicholas Blackburn,nicholas.blackburn@abcsupply_capstone.com,2023-07-03 15:12:35
088fe89f-3c31-4f9e-b416-fdf77c35512a,014643,Michael Cordova,michael.cordova@abcsupply_capstone.com,2023-07-03 15:26:06
e04ed54d-8113-48f1-95f4-8599fa8adf2c,021018,Tyrone Fleming,tyrone.fleming@abcsupply_capstone.com,2023-07-03 15:40:59
41d201ba-915a-4061-91b0-b780ba0f1a39,025801,Dawn Osborne MD,dawn.osborne.md@abcsupply_capstone.com,2023-07-03 17:08:59
978bfc7a-2312-4702-9faf-13ae87a5befc,059700,Joseph Bright,joseph.bright@abcsupply_capstone.com,2023-07-03 20:49:04
34a2a69e-5346-4fff-9aae-e0ef81460106,027195,Kristen Barnes,kristen.barnes@abcsupply_capstone.com,2023-07-05 14:30:34
4dacddb3-277d-442c-9a78-c03496cc4d05,022066,William Ferrell,william.ferrell@abcsupply_capstone.com,2023-07-05 14:54:07
098dc6aa-22a8-4828-849f-6167a9de712c,020877,Peter Alvarez,peter.alvarez@abcsupply_capstone.com,2023-07-05 15:44:46
606764c6-20f9-4b26-b5c3-f6fe03fa688b,035369,Mr. Jose Henry,mr..jose.henry@abcsupply_capstone.com,2023-07-05 18:36:25
999874d9-1bf0-4bc3-86e4-7b0562468f5b,002277,Ashley Carr,ashley.carr@abcsupply_capstone.com,2023-07-05 23:13:47
6177d051-d868-4a1c-8ace-c875e44bc1e1,080257,Cynthia Mckenzie,cynthia.mckenzie@abcsupply_capstone.com,2023-07-06 04:50:32
3f6f8751-b081-4a2e-831c-4b716b8d3462,070979,Jordan Alvarez,jordan.alvarez@abcsupply_capstone.com,2023-07-06 11:41:05
1dc8bbf3-4efb-44e1-8d08-ae6859bf4c4e,035369,Mr. Jose Henry,mr..jose.henry@abcsupply_capstone.com,2023-07-06 13:00:10
81c0b66f-bc3c-4770-ba85-71c836378171,029811,Cory Cook,cory.cook@abcsupply_capstone.com,2023-07-06 13:10:01
5d581eca-9bad-4aad-ac50-3f68917b1662,035067,Kristen Torres,kristen.torres@abcsupply_capstone.com,2023-07-06 13:41:50
0740d585-17ad-45d5-a549-d11ba4093c8a,069024,Gregory Poole,gregory.poole@abcsupply_capstone.com,2023-07-06 14:33:45
6dfa185a-2c62-4663-ad21-1d2ae7687b38,032596,James Evans,james.evans@abcsupply_capstone.com,2023-07-06 14:51:33
2c3e8d00-e5f2-4ebd-bca9-7bd9d422ea36,020833,Morgan Long,morgan.long@abcsupply_capstone.com,2023-07-06 19:43:40
9655ffb9-bc88-4ad2-9e3d-55aa9b5413df,088378,Randy Phillips,randy.phillips@abcsupply_capstone.com,2023-07-07 14:52:48
cb7c092e-1e74-48f2-aee2-43c8ba684007,021691,Erin Sawyer,erin.sawyer@abcsupply_capstone.com,2023-07-07 17:57:46
28255d0c-f35e-4f17-9b3d-5b492aa8967c,005408,Nicholas Klein,nicholas.klein@abcsupply_capstone.com,2023-07-07 20:57:50
3b83691c-edfd-4641-930b-f29193322ec6,020889,Stephanie Foster,stephanie.foster@abcsupply_capstone.com,2023-07-08 13:57:29
8ab9b3ce-d03f-408c-9fde-f98b64c8b8e9,012448,John Thompson,john.thompson@abcsupply_capstone.com,2023-07-10 14:08:47
1cde2d64-8494-4ba8-84e1-60ce54064aa1,019330,William Anderson,william.anderson@abcsupply_capstone.com,2023-07-10 14:26:41
1acda731-5e01-46c4-b91c-ff788fe877b4,018002,Aaron Wade,aaron.wade@abcsupply_capstone.com,2023-07-10 15:32:12
19fc1208-45a5-4077-9cc5-8daf8f6f6ddb,035906,Patricia Jackson,patricia.jackson@abcsupply_capstone.com,2023-07-10 15:32:30
4d784e39-3fe0-4884-8748-10f9b87560a9,041356,Rebecca Fritz,rebecca.fritz@abcsupply_capstone.com,2023-07-10 15:34:04
35a3aa92-582e-4740-b4a2-26457e958927,018002,Aaron Wade,aaron.wade@abcsupply_capstone.com,2023-07-10 15:34:11
00e7b14d-fa1c-4daf-82cb-d47016d72c92,066258,Patricia Anderson DDS,patricia.anderson.dds@abcsupply_capstone.com,2023-07-10 16:14:07
7bbf02a4-8ced-4934-9a3b-235721ec3b2f,085848,Christine Lyons,christine.lyons@abcsupply_capstone.com,2023-07-10 18:11:58
01af009b-730a-4ce2-a59d-fb9cdbfedc34,003059,Preston Walker,preston.walker@abcsupply_capstone.com,2023-07-10 18:32:47
2ed36a82-51bf-493b-bbe1-f09572d40470,010480,Ryan Rodriguez,ryan.rodriguez@abcsupply_capstone.com,2023-07-11 13:07:56
b05dda64-7758-40f5-b31e-fd2272c1413a,021302,Katherine Howard,katherine.howard@abcsupply_capstone.com,2023-07-11 13:49:37
6121ddb3-a8ad-4df2-9418-afbfd782aff4,052042,Andrea Weber,andrea.weber@abcsupply_capstone.com,2023-07-11 14:27:08
6239b6ff-c26e-4ba1-a015-0bbc32dd86d2,009246,Steven Spencer,steven.spencer@abcsupply_capstone.com,2023-07-11 15:25:57
78d0f56d-fa04-4129-8f26-8dea6fbcabed,071459,Steven Martin,steven.martin@abcsupply_capstone.com,2023-07-12 15:29:58
829ed962-4e25-4f0b-a02c-17480e09f7cb,077894,James Owens,james.owens@abcsupply_capstone.com,2023-07-12 21:07:21
8c7367ae-e1a9-4ed9-862e-e0d204d40381,009698,Katherine Aguilar,katherine.aguilar@abcsupply_capstone.com,2023-07-12 21:09:40
439d257e-b241-4eec-8616-e4ba48c3e090,033000,Robin Thornton,robin.thornton@abcsupply_capstone.com,2023-07-12 21:16:12
2fe6ee99-bc98-4c3e-8d53-1bd491d7b821,071571,Jeffrey Johnson,jeffrey.johnson@abcsupply_capstone.com,2023-07-12 21:17:07
8ad77c93-b0d6-46a3-9c5a-84bbadb44e1c,019548,Veronica Parsons,veronica.parsons@abcsupply_capstone.com,2023-07-12 21:28:35
